Company_Name,Company_Link,Article_Link,Disposition,Comments,Disposition_Details,Article_Subject,Market,Listing_Category,FTSE_index,FTSE_Sector,Published_Date,KeywordsMapped,Total_MatchKeyword,Event_Name,RNS,Source
GCP Infrastructure Investments Ltd (GCP),https://www.investegate.co.uk/company/GCP,https://www.investegate.co.uk/announcement/rns/gcp-infrastructure-investments-ltd--gcp/transaction-in-own-shares/9613554,,,,Transaction in Own Shares,Main Market,Equity,FTSE 250,Financial Services,11 Jun 2026 09:00 AM,,,,Regulatory Announcement,RNS
Aviva (AV.),https://www.investegate.co.uk/company/AV.,https://www.investegate.co.uk/announcement/rns/aviva--av./holding-s-in-company/9613556,,,,Holding(s) in Company,Main Market,Equity,FTSE 100,Financial Services,11 Jun 2026 09:00 AM,,,,Regulatory Announcement,RNS
STONEWATER FUNDING PLC (14MD),https://www.investegate.co.uk/company/14MD,https://www.investegate.co.uk/announcement/rns/stonewater-funding-plc--14md/chair-cio-company-secretary-appointments/9613555,,,,"Chair, CIO & Company Secretary appointments",Main Market,Debt,,Financial Services,11 Jun 2026 09:00 AM,,,,Regulatory Announcement,RNS
Shell (SHEL),https://www.investegate.co.uk/company/SHEL,https://www.investegate.co.uk/announcement/gnw/shell--shel/transaction-in-own-shares/9613552,,,,Transaction in Own Shares,Main Market,Equity,FTSE 100,Energy,11 Jun 2026 08:52 AM,,,,Regulatory Announcement,GNW
Smith & Nephew (SN.),https://www.investegate.co.uk/company/SN.,https://www.investegate.co.uk/announcement/rns/smith-nephew--sn./holding-s-in-company/9613543,,,,Holding(s) in Company,Main Market,Equity,FTSE 100,Healthcare,11 Jun 2026 08:42 AM,,,,Regulatory Announcement,RNS
Bezant Resources (BZT),https://www.investegate.co.uk/company/BZT,https://www.investegate.co.uk/announcement/rns/bezant-resources--bzt/exercise-of-warrants-total-voting-rights/9613312,,,,"Exercise of Warrants, Total Voting Rights",AIM,Equity,FTSE AIM 100,Basic Materials,11 Jun 2026 08:00 AM,,,,Regulatory Announcement,RNS
HSBC BANK PLC (48CF),https://www.investegate.co.uk/company/48CF,https://www.investegate.co.uk/announcement/rns/hsbc-bank-plc--48cf/post-stabilisation-notice/9613309,,,,Post Stabilisation Notice,Main Market,Debt,FTSE 100,Financial Services,11 Jun 2026 08:00 AM,,,,Regulatory Announcement,RNS
Nokia OYJ (0HAF),https://www.investegate.co.uk/company/0HAF,https://www.investegate.co.uk/announcement/gnw/nokia-oyj--0haf/nokia-introduces-agentic-ai-framework-in-netw-/9613314,,,,Nokia introduces agentic AI framework in Netw...,Main Market,Equity,,Technology,11 Jun 2026 08:00 AM,,,,Regulatory Announcement,GNW
EnSilica (ENSI),https://www.investegate.co.uk/company/ENSI,https://www.investegate.co.uk/announcement/rns/ensilica--ensi/edge-ai-asic-supply-contract-completes-tape-out/9613307,,,,Edge AI ASIC Supply Contract Completes Tape-Out,AIM,Equity,FTSE AIM 100,Technology,11 Jun 2026 07:57 AM,,,,Regulatory Announcement,RNS
DCC (CDI) (DCC),https://www.investegate.co.uk/company/DCC,https://www.investegate.co.uk/announcement/rns/dcc-cdi---dcc/form-8-3-dcc-plc/9613306,,,,Form 8.3 - DCC Plc,Main Market,Equity,FTSE 100,Industrials,11 Jun 2026 07:55 AM,,,,Regulatory Announcement,RNS
NCC Group (NCC),https://www.investegate.co.uk/company/NCC,https://www.investegate.co.uk/announcement/rns/ncc-group--ncc/disclosure-table/9613300,,,,Disclosure Table,Main Market,Equity,FTSE 250,Technology,11 Jun 2026 07:45 AM,,,,Regulatory Announcement,RNS
Concurrent Technologies (CNC),https://www.investegate.co.uk/company/CNC,https://www.investegate.co.uk/announcement/rns/concurrent-technologies--cnc/result-of-agm/9613223,,,,Result of AGM,AIM,Equity,FTSE AIM 100,Technology,11 Jun 2026 07:30 AM,,,Interim Results,Regulatory Announcement,RNS
Supermarket Income Reit (SUPR),https://www.investegate.co.uk/company/SUPR,https://www.investegate.co.uk/announcement/eqs/supermarket-income-reit--supr/edison-issues-report-on-supermarket-income-re-/9613222,,,,Edison issues report on Supermarket Income RE...,Main Market,Equity,FTSE 250,Financial Services,11 Jun 2026 07:24 AM,,,,Regulatory Announcement,EQS
Wishbone Gold (DI) (WSBN),https://www.investegate.co.uk/company/WSBN,https://www.investegate.co.uk/announcement/rns/wishbone-gold-di---wsbn/red-setter-gold-copper-project-update/9613206,,,,Red Setter Gold-Copper Project Update,AIM,Equity,FTSE AIM 100,Basic Materials,11 Jun 2026 07:18 AM,,,,Regulatory Announcement,RNS
ProCook Group (PROC),https://www.investegate.co.uk/company/PROC,https://www.investegate.co.uk/announcement/rns/procook-group--proc/notice-of-full-year-results-date/9613201,,,,Notice of Full Year Results Date,Main Market,Equity,FTSE All-Share,Consumer Discretionary,11 Jun 2026 07:17 AM,,,Final Results,Regulatory Announcement,RNS
